time,scan_min,scan_mean,scan_valid_fraction,scan_gap,scan_rate_hz,cmd_vx,cmd_vy,cmd_wz,odom_x,odom_y,odom_yaw,odom_vx,odom_vy,odom_wz,imu_wz,imu_ax,imu_ay,left_wheel_vel,right_wheel_vel,amcl_x,amcl_y,amcl_yaw,amcl_cov_x,amcl_cov_y,amcl_cov_yaw,amcl_position_step,amcl_yaw_step,tf_map_odom_x,tf_map_odom_y,tf_map_odom_yaw,tf_map_odom_position_step,tf_map_odom_yaw_step,tf_odom_base_x,tf_odom_base_y,tf_odom_base_yaw,scan_age,cmd_age,odom_age,imu_age,joint_age,amcl_age,tf_map_odom_age,tf_odom_base_age,linear_motion_error,angular_motion_error,wheel_velocity_difference,wheel_velocity_product,odom_imu_yaw_error,command_active,label,source_bag
0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,localization_jump,localization_jump_001
0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,localization_jump,localization_jump_001
0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,localization_jump,localization_jump_001
0.6000000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,localization_jump,localization_jump_001
0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,localization_jump,localization_jump_001
1.0,0.48466911911964417,1.3573314588803511,0.9027777777777778,,,,,,-1.9989353075089478,-0.5000000208654442,0.0006565862171827537,3.868888031371966e-06,-6.401526345703811e-06,1.9289656631251313e-05,0.00013028846532914582,-0.08516775443647595,-0.013077675650678341,-0.00045589747717710016,-0.0003130092076550784,-1.9476255221450376,-0.4616420599930162,-0.005669980700697999,0.17291158509330895,0.2082887636906509,0.058379632903338786,,,0.054646357535293594,0.026096747133797966,-0.006128207747810859,,,-1.9989353075089478,-0.5000000208654442,0.0006565862171827537,0.10856022600000004,,0.026677426999999976,0.00037926200000004684,0.026579149000000024,0.13059428699999998,0.09408206500000005,0.026630107000000014,,,0.00014288826952202176,1.427001081031533e-07,0.00011099880869789451,0,localization_jump,localization_jump_001
1.2000000000000002,0.4920286238193512,1.3572053791009462,0.9027777777777778,0.20254132200000008,4.9372641104811175,,,,-1.9989280099469184,-0.4999999594651314,0.0006613234984279754,2.886166929095079e-05,-6.5422591676052514e-06,1.854541048851476e-05,7.193728153403148e-05,-0.07305790024682186,-0.01059918075216149,-0.00029052951966399877,-0.00015241559190646951,-1.9476255221450376,-0.4616420599930162,-0.005669980700697999,0.17291158509330895,0.2082887636906509,0.058379632903338786,,,0.054646357535293594,0.026096747133797966,-0.006128207747810859,0.0,0.0,-1.9989280099469184,-0.4999999594651314,0.0006613234984279754,0.10601890400000014,,0.019181249000000067,0.0018733900000000858,0.019106598000000252,0.33059428700000015,0.08746902400000023,0.019219513000000132,,,0.00013811392775752926,4.428122870589065e-08,5.339187104551672e-05,0,localization_jump,localization_jump_001
1.4000000000000001,0.48943620920181274,1.3568506954266475,0.9027777777777778,0.20308992199999998,4.92392724440556,,,,-1.9989206347321107,-0.49999990631163865,0.0006660388757357131,1.2580662824414795e-05,-1.1526740044287987e-05,1.8996863698022538e-05,-6.122933841511598e-05,-0.07379146541251444,0.027659103560107416,0.00013387102833357489,0.0002766480253759364,-1.9476255221450376,-0.4616420599930162,-0.005669980700697999,0.17291158509330895,0.2082887636906509,0.058379632903338786,,,0.054646357535293594,0.026096747133797966,-0.006128207747810859,0.0,0.0,-1.9989206347321107,-0.49999990631163865,0.0006660388757357131,0.10292898200000011,,0.013791613000000202,0.000847844000000153,0.013746673000000209,0.5305942870000001,0.08037121600000008,0.013811369000000129,,,0.0001427769970423615,3.703515564352952e-08,8.022620211313851e-05,0,localization_jump,localization_jump_001
1.6,0.47573062777519226,1.3578749140409323,0.9027777777777778,0.20009077399999997,4.997731679522616,,,,-1.9989135241791205,-0.4999999735462841,0.0006708557093584908,7.587821280404374e-06,-7.923295329965722e-06,1.9004461591897896e-05,4.8949176022570185e-05,-0.07929502460160874,-0.014719040931967128,-0.00045425098117403027,-0.0003138505845015306,-1.9476255221450376,-0.4616420599930162,-0.005669980700697999,0.17291158509330895,0.2082887636906509,0.058379632903338786,,,0.054646357535293594,0.026096747133797966,-0.006128207747810859,0.0,0.0,-1.9989135241791205,-0.4999999735462841,0.0006708557093584908,0.1028382080000001,,0.008383326000000135,0.004560235000000024,0.008411617000000149,0.7305942870000001,0.075724291,0.008441468000000008,,,0.0001404003966724997,1.4256693595186316e-07,2.994471443067229e-05,0,localization_jump,localization_jump_001
1.8,0.47734615206718445,1.3571476781368255,0.9027777777777778,0.20091821799999998,4.977149458890781,,,,-1.9989061734161355,-0.49999989440028014,0.0006755666436316479,1.2174311206638542e-05,-1.1628090277093953e-05,1.8945899148080382e-05,0.0002252389280878894,-0.06517729549948664,-0.02070395647370054,0.00013396632186894438,0.0002763292670858496,-1.9476255221450376,-0.4616420599930162,-0.005669980700697999,0.17291158509330895,0.2082887636906509,0.058379632903338786,,,0.054646357535293594,0.026096747133797966,-0.006128207747810859,0.0,0.0,-1.9989061734161355,-0.49999989440028014,0.0006755666436316479,0.10191999000000007,,0.004332417999999949,0.00431691100000009,0.0043478120000000064,0.930594287,0.07188588799999995,0.004390767999999934,,,0.00014236294521690522,3.7018815536232424e-08,0.00020629302893980902,0,localization_jump,localization_jump_001
2.0,0.4944413900375366,1.357685227027306,0.9027777777777778,0.199438781,5.014069956634963,,,,-1.9989001836700588,-0.4999998162404021,0.0006795209851105039,5.489652872772193e-06,-4.278127159299911e-06,1.920526890204896e-05,7.290796647296211e-05,-0.03854399137752515,-0.02583178939609288,-0.0004565000338921316,-0.00031408411860353114,-1.9476255221450376,-0.4616420599930162,-0.005669980700697999,0.17291158509330895,0.2082887636906509,0.058379632903338786,,,0.054646357535293594,0.026096747133797966,-0.006128207747810859,0.0,0.0,-1.9989001836700588,-0.4999998162404021,0.0006795209851105039,0.10248120900000002,,0.034252103000000034,0.003290851000000039,0.03400209199999993,1.130594287,0.10127707899999994,0.034137985999999954,,,0.00014241591528860046,1.4337941078749226e-07,5.370269757091315e-05,0,localization_jump,localization_jump_001
2.2,0.4839060604572296,1.3574731017076052,0.9027777777777778,0.20292944600000018,4.92782107136881,,,,-1.9988928026612904,-0.4999999562099401,0.0006843351736330204,1.918799105254359e-05,-1.1482319125190698e-05,1.8882105974618498e-05,-6.499600309717871e-05,-0.13254732248298035,-0.017642328797006245,0.00013118962109762784,0.00027312506285822463,-1.9476255221450376,-0.4616420599930162,-0.005669980700697999,0.17291158509330895,0.2082887636906509,0.058379632903338786,,,0.054646357535293594,0.026096747133797966,-0.006128207747810859,0.0,0.0,-1.9988928026612904,-0.4999999562099401,0.0006843351736330204,0.09955176300000002,,0.02729125000000021,0.0011770150000001145,0.027306571,1.3305942870000003,0.09511894099999996,0.027341396000000184,,,0.0001419354417605968,3.5831173508636274e-08,8.38781090717972e-05,0,localization_jump,localization_jump_001
2.4000000000000004,0.48340266942977905,1.3575367712974549,0.9027777777777778,0.20075406399999984,4.981219209589703,,,,-1.9988857207434723,-0.49999992389365544,0.0006890922252988357,2.972831644087473e-05,-1.040652717315507e-05,1.815195115163399e-05,0.000124575063763858,-0.0373399882078419,-0.01468190053779942,-0.0001947377810318715,-6.014496153386017e-05,-1.9476255221450376,-0.4616420599930162,-0.005669980700697999,0.17291158509330895,0.2082887636906509,0.058379632903338786,,,0.054646357535293594,0.026096747133797966,-0.006128207747810859,0.0,0.0,-1.9988857207434723,-0.49999992389365544,0.0006890922252988357,0.09879769900000035,,0.022284336000000238,0.00036785400000027835,0.022290997000000257,1.5305942870000004,0.09004999500000022,0.022317076000000213,,,0.00013459281949801134,1.1712496349351195e-08,0.00010642311261222401,0,localization_jump,localization_jump_001
