time,scan_min,scan_mean,scan_valid_fraction,scan_gap,scan_rate_hz,cmd_vx,cmd_vy,cmd_wz,odom_x,odom_y,odom_yaw,odom_vx,odom_vy,odom_wz,imu_wz,imu_ax,imu_ay,left_wheel_vel,right_wheel_vel,amcl_x,amcl_y,amcl_yaw,amcl_cov_x,amcl_cov_y,amcl_cov_yaw,amcl_position_step,amcl_yaw_step,tf_map_odom_x,tf_map_odom_y,tf_map_odom_yaw,tf_map_odom_position_step,tf_map_odom_yaw_step,tf_odom_base_x,tf_odom_base_y,tf_odom_base_yaw,scan_age,cmd_age,odom_age,imu_age,joint_age,amcl_age,tf_map_odom_age,tf_odom_base_age,linear_motion_error,angular_motion_error,wheel_velocity_difference,wheel_velocity_product,odom_imu_yaw_error,command_active,label,source_bag,scan_header_delta_s,scan_header_nonmonotonic,scan_payload_repeat,scan_finite_fraction,scan_integrity_valid_fraction,scan_severely_degraded,scan_window_message_count_1s,scan_header_nonmonotonic_fraction_1s,scan_payload_repeat_fraction_1s,scan_finite_fraction_1s,scan_valid_fraction_1s,scan_finite_median_1s,scan_valid_median_1s,scan_low_quality_fraction_1s,anomaly_score,is_anomaly
0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,unknown,healthy_003,,,,,,,,,,,,,,,0.43784812072810597,0
0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,unknown,healthy_003,,,,,,,,,,,,,,,0.43784812072810597,0
0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,unknown,healthy_003,,,,,,,,,,,,,,,0.43784812072810597,0
0.6000000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,unknown,healthy_003,,,,,,,,,,,,,,,0.43784812072810597,0
0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,unknown,healthy_003,,,,,,,,,,,,,,,0.43784812072810597,0
1.0,,,,,,,,,1.6801618180287368,0.03005268650843535,-2.941779713026546,3.12515388021287e-05,-4.965879158150695e-05,0.0001704485242399856,0.00011968621748915046,-0.09356265197967371,-0.026966330901137446,-0.0006649142607718225,0.0008013137769246554,,,,,,,,,,,,,,1.6801618180287368,0.03005268650843535,-2.941779713026546,,,0.01749584500000001,0.004652271999999957,0.017340667000000032,,,0.017404136000000014,,,0.0014662280376964779,-5.328049576301343e-07,5.076230675083513e-05,0,unknown,healthy_003,,,,,,,,,,,,,,,0.41739205956831943,0
1.2000000000000002,0.4797467589378357,1.436738247719138,0.8916666666666667,,,,,,1.6801547541019561,0.030051296474599035,-2.9417437043862487,3.53716829985688e-05,-4.64549104281288e-05,0.0001699751698347343,0.0001537413575893458,-0.0620539150761909,0.010788144432742461,-0.0006652394100214133,0.0007967624107359066,1.635665369415652,0.04717167431737305,-2.8627786483639883,0.024449423267224102,0.11438967266046271,0.07582643981834764,,,-0.0446399669724788,-0.004507655866228724,0.012787094121647632,,,1.6801547541019561,0.030051296474599035,-2.9417437043862487,0.14107954900000008,,0.01339099800000021,0.0030060740000001918,0.013240258000000171,0.18259774800000028,0.11493165900000024,0.01334833400000024,,,0.0014620018207573198,-5.300377560451934e-07,1.6233812245388507e-05,0,unknown,healthy_003,,0.0,0.0,0.8916666666666667,0.8916666666666667,0.0,1.0,0.0,0.0,0.8916666666666667,0.8916666666666667,0.8916666666666667,0.8916666666666667,0.0,0.43409182688817455,0
1.4000000000000001,0.4772631824016571,1.4374790135016693,0.8916666666666667,0.2019820929999998,4.950933942446081,,,,1.6801476198399778,0.030049752139385516,-2.941707931761722,7.4694812218028566e-06,-5.1761002887647533e-05,0.00016938732874490422,0.0002023959143972218,-0.05023821957308689,-0.00999151285618174,-0.0012044571783056094,0.0002496369845819981,1.635665369415652,0.04717167431737305,-2.8627786483639883,0.024449423267224102,0.11438967266046271,0.07582643981834764,,,-0.0446399669724788,-0.004507655866228724,0.012787094121647632,0.0,0.0,1.6801476198399778,0.030049752139385516,-2.941707931761722,0.13909745600000023,,0.008317856000000123,0.002700817000000244,0.008328841000000198,0.38259774800000024,0.10995325000000022,0.008371269000000181,,,0.0014540941628876074,-3.0067705805035435e-07,3.300858565231758e-05,0,unknown,healthy_003,0.20000000000001705,0.0,0.0,0.8916666666666667,0.8916666666666667,0.0,2.0,0.0,0.0,0.8916666666666667,0.8916666666666667,0.8916666666666667,0.8916666666666667,0.0,0.4926317125684439,0
1.6,0.4782293140888214,1.4375391242288726,0.8916666666666667,0.19976480000000008,5.005886923021471,,,,1.6801406041281703,0.030048583895623378,-2.9416720698110943,3.353407416575227e-05,-4.67610163906843e-05,0.00016919349418287365,0.00010004783890871704,-0.061262476937940326,0.00784049007571327,-0.0005816436110748051,0.0008730647998833043,1.635665369415652,0.04717167431737305,-2.8627786483639883,0.024449423267224102,0.11438967266046271,0.07582643981834764,,,-0.0446399669724788,-0.004507655866228724,0.012787094121647632,0.0,0.0,1.6801406041281703,0.030048583895623378,-2.9416720698110943,0.1393326560000001,,0.004634852999999994,0.0025664590000000764,0.004645216999999979,0.5825977480000002,0.10600062200000004,0.004675441000000058,,,0.0014547084109581094,-5.078125629064272e-07,6.914565527415661e-05,0,unknown,healthy_003,0.2009999999999934,0.0,0.0,0.8916666666666667,0.8916666666666667,0.0,3.0,0.0,0.0,0.8916666666666667,0.8916666666666667,0.8916666666666667,0.8916666666666667,0.0,0.44368212385200007,0
1.8,0.49028897285461426,1.4370794361254136,0.8916666666666667,0.1994477320000001,5.013844930560552,,,,1.6801334872757143,0.030046957121954515,-2.9416365579740855,3.458854804207158e-05,-4.5282286983083664e-05,0.00016833870070027062,-0.00023562009939995896,-0.02229156070061717,0.007518750201898905,-0.0006582061653331657,0.0007894652790610113,1.635665369415652,0.04717167431737305,-2.8627786483639883,0.024449423267224102,0.11438967266046271,0.07582643981834764,,,-0.0446399669724788,-0.004507655866228724,0.012787094121647632,0.0,0.0,1.6801334872757143,0.030046957121954515,-2.9416365579740855,0.13988492399999997,,0.0006793110000000713,0.0026398270000000945,0.0006870510000001051,0.7825977480000001,0.1365954600000001,0.0007018100000000249,,,0.001447671444394177,-5.196309139944259e-07,0.0004039588001002296,0,unknown,healthy_003,0.19899999999998386,0.0,0.0,0.8916666666666667,0.8916666666666667,0.0,4.0,0.0,0.0,0.8916666666666667,0.8916666666666667,0.8916666666666667,0.8916666666666667,0.0,0.46129879746274877,0
2.0,0.48458316922187805,1.4384882720274346,0.8916666666666667,0.20013796499999992,4.996553252652491,,,,1.6801275528189923,0.030045685114409432,-2.9416070505056844,3.508021349704969e-05,-4.830176325568651e-05,0.00016749509086439355,-0.00018554836698865068,-0.03701429597710268,0.012509331469018605,-0.0005915927189701765,0.0008490387154526033,1.635665369415652,0.04717167431737305,-2.8627786483639883,0.024449423267224102,0.11438967266046271,0.07582643981834764,,,-0.0446399669724788,-0.004507655866228724,0.012787094121647632,0.0,0.0,1.6801275528189923,0.030045685114409432,-2.9416070505056844,0.139746959,,0.030813422000000035,0.002608697000000104,0.030824844000000073,0.9825977480000001,0.13210816699999994,0.03084388700000007,,,0.0014406314344227798,-5.022851221855516e-07,0.00035304345785304426,0,unknown,healthy_003,0.20000000000001705,0.0,0.0,0.8916666666666667,0.8916666666666667,0.0,5.0,0.0,0.0,0.8916666666666667,0.8916666666666667,0.8916666666666667,0.8916666666666667,0.0,0.4398920175841588,0
2.2,0.46951809525489807,1.4371213185081602,0.8916666666666667,0.2002948670000002,4.992639177318503,,,,1.6801205762559104,0.03004436375713041,-2.941571622710177,1.9609343827494445e-05,-5.173967093357888e-05,0.0001670720665068565,-3.1851076583745805e-05,-0.05693956406438072,0.018347405986016876,-0.0005029996781414224,0.0009332647656344769,1.635665369415652,0.04717167431737305,-2.8627786483639883,0.024449423267224102,0.11438967266046271,0.07582643981834764,,,-0.0446399669724788,-0.004507655866228724,0.012787094121647632,0.0,0.0,1.6801205762559104,0.03004436375713041,-2.941571622710177,0.13945209199999997,,0.026291218999999977,0.002246956000000022,0.026257756000000132,1.1825977480000003,0.12780542900000036,0.026261572000000122,,,0.0014362644437758993,-4.694318767348719e-07,0.0001989231430906023,0,unknown,healthy_003,0.19999999999998863,0.0,0.0,0.8916666666666667,0.8916666666666667,0.0,5.0,0.0,0.0,0.8916666666666667,0.8916666666666667,0.8916666666666667,0.8916666666666667,0.0,0.4349264193716093,0
